Id,MSSubClass,MSZoning,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,SalePrice
1,7,3,573,16,6,2,96,42,145,2,5,3,3,451,357,513,259,648,2,2,7,0,85,2,150,208500
2,4,3,385,20,5,3,70,31,61,1,2,3,3,363,378,413,173,476,2,1,4,1,56,2,161,181500
3,7,3,720,16,6,2,99,53,272,2,5,3,3,360,315,523,257,619,2,2,4,1,90,2,290,223500
4,3,3,309,17,6,2,31,16,61,1,1,2,4,242,273,116,149,532,0,2,5,1,78,4,263,140000
5,7,3,881,24,7,2,87,38,276,2,5,3,3,469,306,506,322,696,2,2,8,1,77,4,384,250000
6,4,3,634,11,4,2,90,47,61,1,4,3,3,141,102,45,111,336,0,1,3,0,84,2,94,143000
7,4,3,899,19,7,2,85,50,277,2,5,4,3,573,566,673,173,705,2,2,5,1,79,2,382,307000
8,7,3,517,13,6,2,40,15,160,1,2,3,3,425,670,490,264,613,2,1,5,2,27,2,171,200000
9,4,1,131,5,6,2,21,1,61,1,1,2,3,302,317,330,71,85,2,1,7,2,48,2,66,129900
10,1,3,188,3,4,2,53,1,61,1,1,2,3,53,397,27,173,44,0,1,3,2,63,1,18,118000
11,4,3,424,6,4,2,55,18,61,1,2,2,3,99,158,97,173,120,0,1,3,0,46,1,36,129500
12,7,3,1019,23,8,2,97,57,298,3,5,4,3,527,674,646,370,812,3,3,11,2,82,4,385,345000
13,4,3,344,6,4,2,50,20,61,1,2,2,3,180,157,220,173,156,0,1,2,0,29,1,34,144000
14,4,3,940,16,6,2,102,56,248,2,5,3,3,302,574,601,173,650,2,2,5,1,94,4,383,279500
15,4,3,439,10,5,2,66,19,67,1,2,2,3,386,237,318,173,380,0,1,3,1,53,1,34,157000
16,0,1,131,3,6,3,54,41,61,1,1,2,3,302,281,121,173,181,0,1,3,0,66,2,127,132000
17,4,3,390,10,5,3,33,16,83,1,2,2,3,381,356,332,173,249,0,1,3,1,44,2,94,149000
18,2,3,42,6,3,2,47,10,61,1,0,0,1,302,40,254,173,325,2,1,4,0,18,2,96,90000
19,4,3,440,12,4,2,85,43,61,1,5,2,3,205,238,264,173,333,0,2,4,0,79,2,127,159000
20,4,3,285,10,4,2,48,18,61,1,2,2,3,161,99,283,173,345,0,1,4,0,25,1,26,139000
21,7,3,1004,23,7,2,97,57,287,2,5,4,3,302,499,604,387,798,3,2,8,1,82,4,402,325300
22,0,1,305,1,6,3,3,1,61,1,5,2,3,302,74,509,173,228,0,2,4,1,17,1,21,139400
23,4,3,819,16,7,2,95,53,107,2,5,3,3,302,526,443,173,399,2,2,5,1,80,2,251,230000
24,6,1,247,0,4,3,70,31,61,1,5,3,3,103,158,253,173,248,0,1,4,1,56,2,107,129900
25,4,3,420,6,4,3,73,41,61,1,2,2,3,243,216,253,173,248,0,2,4,1,60,1,49,154000
26,4,3,894,23,7,2,103,56,235,2,5,3,3,302,581,576,173,590,2,2,5,1,89,4,327,256300
27,4,3,241,10,4,3,37,38,61,1,2,2,3,118,422,155,173,151,0,2,3,0,82,2,127,134800
28,4,3,976,23,7,2,103,58,268,2,5,4,3,557,644,682,173,776,2,2,5,1,96,4,392,306000
29,4,3,743,10,4,2,52,52,61,1,2,2,3,448,411,576,173,590,0,1,4,2,38,1,244,207500
30,0,1,11,3,3,2,0,1,61,1,1,2,3,302,45,76,173,10,0,0,2,0,3,1,54,68500
31,3,0,88,1,3,1,13,1,61,1,1,2,3,302,10,2,34,2,0,1,4,0,3,1,9,40000
32,4,3,77,6,4,2,62,57,61,1,2,2,3,302,298,336,173,398,0,2,4,0,50,1,78,149350
33,4,3,589,16,7,2,103,56,61,2,5,4,3,302,601,578,173,456,2,2,5,0,89,2,171,179900
34,4,3,495,10,4,2,56,13,61,1,2,2,3,300,284,410,173,473,0,2,4,1,62,2,95,165500
35,6,3,938,23,8,2,97,50,240,3,5,4,3,554,618,660,173,749,2,3,4,1,82,2,331,277500
36,7,3,977,23,7,2,85,50,111,2,5,4,3,302,523,606,362,762,3,2,8,1,79,4,380,309000
37,4,3,355,16,4,2,100,47,61,1,5,3,3,302,231,300,173,292,0,1,4,0,91,2,172,145000
38,4,3,417,10,4,2,41,45,168,1,2,2,3,239,212,238,173,311,0,1,3,1,30,2,106,153000
39,4,3,91,10,4,3,51,56,61,1,2,2,3,33,316,350,173,128,0,2,3,0,40,1,7,109000
40,2,3,26,4,3,2,32,6,61,1,5,0,1,302,40,180,173,240,2,0,4,0,2,0,12,82000
41,4,3,457,10,5,2,55,18,97,1,2,2,3,335,385,510,173,464,2,1,4,1,46,2,113,160000
42,4,3,518,21,4,2,56,13,61,1,2,2,3,313,297,421,173,233,0,1,3,2,62,1,32,170000
43,3,3,345,12,4,3,77,14,61,1,2,3,3,190,190,382,173,260,0,2,3,0,70,2,73,144000
44,4,3,689,16,4,2,60,25,61,1,2,3,3,38,229,102,173,176,0,1,3,0,61,1,32,130250
45,4,3,323,10,4,2,56,13,61,1,2,2,3,163,154,182,173,242,0,1,4,0,62,1,45,141000
46,6,3,995,23,8,2,97,50,285,3,5,4,3,411,656,695,173,682,2,3,4,1,82,2,127,319900
47,4,3,857,11,6,2,96,42,61,2,5,4,3,503,548,704,311,676,0,2,4,1,85,2,326,239686
48,4,2,880,19,7,2,102,57,61,2,5,3,3,436,416,488,173,462,2,2,5,0,94,4,315,249700
49,1,1,119,5,3,2,13,58,61,1,1,2,3,302,51,67,127,290,2,1,7,0,2,0,12,113000
50,4,3,208,6,4,3,62,22,61,1,2,2,3,117,92,236,173,152,0,1,4,0,50,1,41,127000
51,7,3,569,14,5,2,89,52,61,1,5,3,3,247,424,379,183,378,2,1,4,0,76,2,157,177000
52,4,1,298,3,5,2,93,1,61,1,5,2,3,302,87,83,173,143,0,1,4,1,54,2,87,114500
53,2,1,98,1,4,2,49,17,61,0,2,3,3,40,87,83,173,131,0,1,3,0,28,2,96,110000
54,4,3,1038,20,8,2,101,49,61,2,2,4,3,610,691,726,173,830,1,2,3,1,71,4,418,385000
55,3,3,234,10,4,2,32,6,61,1,2,2,3,98,266,419,173,282,0,1,4,1,29,2,107,130000
56,4,3,597,10,5,2,67,29,237,1,2,2,3,222,367,401,173,463,2,1,5,1,49,2,127,180500
57,2,2,544,19,7,2,86,38,176,2,5,3,3,444,152,269,149,410,2,2,5,0,74,2,94,172500
58,7,3,814,16,6,2,85,43,61,2,5,3,3,302,463,404,256,597,2,2,5,0,79,2,206,196500
59,7,3,1057,22,8,2,102,57,320,3,5,4,3,302,707,740,408,844,3,2,10,1,94,4,428,438780
