Id,MSSubClass,MSZoning,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,SalePrice
1,7,3,573,4,6,2,96,42,146,2,2,2,1,451,357,513,259,648,1,2,5,0,85,2,150,208500
2,4,3,385,4,5,3,70,31,62,1,1,2,1,363,378,413,173,476,1,1,3,1,56,2,161,181500
3,7,3,720,4,6,2,99,53,272,2,2,2,1,360,315,523,257,619,1,2,3,1,90,2,290,223500
4,3,3,309,4,6,2,31,16,62,1,0,1,2,242,273,116,149,532,0,2,4,1,78,3,263,140000
5,7,3,881,5,7,2,87,38,276,2,2,2,1,469,306,506,322,696,1,2,6,1,77,3,384,250000
6,4,3,634,2,4,2,90,47,62,1,1,2,1,141,102,45,111,336,0,1,2,0,84,2,94,143000
7,4,3,899,4,7,2,85,50,277,2,2,3,1,573,566,673,173,705,1,2,4,1,79,2,382,307000
8,7,3,517,3,6,2,40,15,161,1,1,2,1,425,670,490,264,613,1,1,4,2,27,2,171,200000
9,4,1,131,1,6,2,21,1,62,1,0,1,1,302,317,330,71,85,1,1,5,2,48,2,66,129900
10,1,3,188,1,4,2,53,1,62,1,0,1,1,53,397,27,173,44,0,1,2,2,63,1,18,118000
11,4,3,424,1,4,2,55,18,62,1,1,1,1,99,158,97,173,120,0,1,2,0,46,1,36,129500
12,7,3,1019,5,8,2,97,57,298,3,2,3,1,527,674,646,370,812,2,3,7,2,82,3,385,345000
13,4,3,344,1,4,2,50,20,62,1,1,1,1,180,157,220,173,156,0,1,1,0,29,1,34,144000
14,4,3,940,4,6,2,102,56,248,2,2,2,1,302,574,601,173,650,1,2,4,1,94,3,383,279500
15,4,3,439,2,5,2,66,19,68,1,1,1,1,386,237,318,173,380,0,1,2,1,53,1,34,157000
16,0,1,131,1,6,3,54,41,62,1,0,1,1,302,281,121,173,181,0,1,2,0,66,2,127,132000
17,4,3,390,2,5,3,33,16,84,1,1,1,1,381,356,332,173,249,0,1,2,1,44,2,94,149000
18,2,3,42,1,3,2,47,10,62,1,0,0,0,302,40,254,173,325,1,1,3,0,18,2,96,90000
19,4,3,440,2,4,2,85,43,62,1,2,1,1,205,238,264,173,333,0,2,3,0,79,2,127,159000
20,4,3,285,2,4,2,48,18,62,1,1,1,1,161,99,283,173,345,0,1,3,0,25,1,26,139000
21,7,3,1004,5,7,2,97,57,287,2,2,3,1,302,499,604,387,798,2,2,6,1,82,3,402,325300
22,0,1,305,0,6,3,3,1,62,1,2,1,1,302,74,509,173,228,0,2,3,1,17,1,21,139400
23,4,3,819,4,7,2,95,53,108,2,2,2,1,302,526,443,173,399,1,2,4,1,80,2,251,230000
24,6,1,247,0,4,3,70,31,62,1,2,2,1,103,158,253,173,248,0,1,3,1,56,2,107,129900
25,4,3,420,1,4,3,73,41,62,1,1,1,1,243,216,253,173,248,0,2,3,1,60,1,49,154000
26,4,3,894,5,7,2,103,56,235,2,2,2,1,302,581,576,173,590,1,2,4,1,89,3,327,256300
27,4,3,241,2,4,3,37,38,62,1,1,1,1,118,422,155,173,151,0,2,2,0,82,2,127,134800
28,4,3,976,5,7,2,103,58,268,2,2,3,1,557,644,682,173,776,1,2,4,1,96,3,392,306000
29,4,3,743,2,4,2,52,52,62,1,1,1,1,448,411,576,173,590,0,1,3,2,38,1,244,207500
30,0,1,11,1,3,2,0,1,62,1,0,1,1,302,45,76,173,10,0,0,1,0,3,1,54,68500
31,3,0,88,0,3,1,13,1,62,1,0,1,1,302,10,2,34,2,0,1,3,0,3,1,9,40000
32,4,3,77,1,4,2,62,57,62,1,1,1,1,302,298,336,173,398,0,2,3,0,50,1,78,149350
33,4,3,589,4,7,2,103,56,62,2,2,3,1,302,601,578,173,456,1,2,4,0,89,2,171,179900
34,4,3,495,2,4,2,56,13,62,1,1,1,1,300,284,410,173,473,0,2,3,1,62,2,95,165500
35,6,3,938,5,8,2,97,50,240,3,2,3,1,554,618,660,173,749,1,3,3,1,82,2,331,277500
36,7,3,977,5,7,2,85,50,112,2,2,3,1,302,523,606,362,762,2,2,6,1,79,3,380,309000
37,4,3,355,4,4,2,100,47,62,1,2,2,1,302,231,300,173,292,0,1,3,0,91,2,172,145000
38,4,3,417,2,4,2,41,45,169,1,1,1,1,239,212,238,173,311,0,1,2,1,30,2,106,153000
39,4,3,91,2,4,3,51,56,62,1,1,1,1,33,316,350,173,128,0,2,2,0,40,1,7,109000
40,2,3,26,1,3,2,32,6,62,1,2,0,0,302,40,180,173,240,1,0,3,0,0,0,12,82000
41,4,3,457,2,5,2,55,18,98,1,1,1,1,335,385,510,173,464,1,1,3,1,46,2,113,160000
42,4,3,518,4,4,2,56,13,62,1,1,1,1,313,297,421,173,233,0,1,2,2,62,1,32,170000
43,3,3,345,2,4,3,77,14,62,1,1,2,1,190,190,382,173,260,0,2,2,0,70,2,73,144000
44,4,3,689,4,4,2,60,25,62,1,1,2,1,38,229,102,173,176,0,1,2,0,61,1,32,130250
45,4,3,323,2,4,2,56,13,62,1,1,1,1,163,154,182,173,242,0,1,3,0,62,1,45,141000
46,6,3,995,5,8,2,97,50,285,3,2,3,1,411,656,695,173,682,1,3,3,1,82,2,127,319900
47,4,3,857,2,6,2,96,42,62,2,2,3,1,503,548,704,311,676,0,2,3,1,85,2,326,239686
